,hash,last_modified,bytes,path,content_type,file_ext,isNII,subject,session,modality,task,MB
4696,bbcbc0c697de750f68cbb48589211af5,2022-05-17T11:33:08.481700,3541281,v3.0/sub-13/ses-18/func/sub-13_ses-18_task-MVIS_dir-pa_sbref.nii.gz,application/octet-stream,gz,NIFTI,sub-13,ses-18,sbref,MVIS,3.3772287368774414
4697,8e5aa9a23d453a8bbfc9955036f4fd2c,2022-05-17T11:33:11.296830,976470608,v3.0/sub-13/ses-18/func/sub-13_ses-18_task-Moto_dir-ap_bold.nii.gz,application/octet-stream,gz,NIFTI,sub-13,ses-18,bold,Moto,931.2349395751953
4698,8d6d26acbcc538951a99257d4654aa6c,2022-05-17T11:33:19.181370,7382,v3.0/sub-13/ses-18/func/sub-13_ses-18_task-Moto_dir-ap_events.tsv,text/tab-separated-values,tsv,,sub-13,ses-18,events,Moto,0.0070400238037109375
4699,3458e0b69d9a60ec853b44c1b3ca3f41,2022-05-17T11:33:20.011080,3566131,v3.0/sub-13/ses-18/func/sub-13_ses-18_task-Moto_dir-ap_sbref.nii.gz,application/octet-stream,gz,NIFTI,sub-13,ses-18,sbref,Moto,3.4009275436401367
4700,58f545acc0e39040b7791e41b274a028,2022-05-17T11:33:23.293660,965914074,v3.0/sub-13/ses-18/func/sub-13_ses-18_task-Moto_dir-pa_bold.nii.gz,application/octet-stream,gz,NIFTI,sub-13,ses-18,bold,Moto,921.167444229126
4701,e8ee2b73c16ce061e1d6f4629a938407,2022-05-17T11:33:26.363420,7393,v3.0/sub-13/ses-18/func/sub-13_ses-18_task-Moto_dir-pa_events.tsv,text/tab-separated-values,tsv,,sub-13,ses-18,events,Moto,0.007050514221191406
4702,e077071bbfc23249c0aeba763cdff357,2022-05-17T11:33:27.210760,3538456,v3.0/sub-13/ses-18/func/sub-13_ses-18_task-Moto_dir-pa_sbref.nii.gz,application/octet-stream,gz,NIFTI,sub-13,ses-18,sbref,Moto,3.3745346069335938
4703,6abf02832ccdf53e19066a55f24f9e7f,2022-05-17T11:33:28.117300,2132383,v3.0/sub-13/ses-19/fmap/sub-13_ses-19_dir-ap_epi.nii.gz,application/octet-stream,gz,NIFTI,sub-13,ses-19,fmap,,2.0335988998413086
4704,03e73a19644eae25d7e629a910f328d0,2022-05-17T11:33:28.980850,2116151,v3.0/sub-13/ses-19/fmap/sub-13_ses-19_dir-pa_epi.nii.gz,application/octet-stream,gz,NIFTI,sub-13,ses-19,fmap,,2.0181188583374023
4705,decaa5d4c3eecf4ce65bd8800bde9e80,2022-05-17T11:33:32.170020,945918083,v3.0/sub-13/ses-19/func/sub-13_ses-19_task-Audi_dir-ap_bold.nii.gz,application/octet-stream,gz,NIFTI,sub-13,ses-19,bold,Audi,902.0977811813354
4706,58eb061b4a2cd7380eca446ed2b7a690,2022-05-17T11:33:35.154290,16324,v3.0/sub-13/ses-19/func/sub-13_ses-19_task-Audi_dir-ap_events.tsv,text/tab-separated-values,tsv,,sub-13,ses-19,events,Audi,0.015567779541015625
4707,a9805465738b8d3397237a1685f0971f,2022-05-17T11:33:35.953470,3575494,v3.0/sub-13/ses-19/func/sub-13_ses-19_task-Audi_dir-ap_sbref.nii.gz,application/octet-stream,gz,NIFTI,sub-13,ses-19,sbref,Audi,3.4098567962646484
4708,59dd23f272d3eeade619cb33f3d73e1f,2022-05-17T11:33:38.739810,936207292,v3.0/sub-13/ses-19/func/sub-13_ses-19_task-Audi_dir-pa_bold.nii.gz,application/octet-stream,gz,NIFTI,sub-13,ses-19,bold,Audi,892.8368492126465
4709,6b9ac9484822f8790bb02dd55299aa1a,2022-05-17T11:33:46.213630,16365,v3.0/sub-13/ses-19/func/sub-13_ses-19_task-Audi_dir-pa_events.tsv,text/tab-separated-values,tsv,,sub-13,ses-19,events,Audi,0.015606880187988281
4710,dcdcc7295781d2ea98414fc7beff8543,2022-05-17T11:33:47.174360,3547370,v3.0/sub-13/ses-19/func/sub-13_ses-19_task-Audi_dir-pa_sbref.nii.gz,application/octet-stream,gz,NIFTI,sub-13,ses-19,sbref,Audi,3.383035659790039
4711,8899c8fa88e594de9dcfcf95b0bbdece,2022-05-17T11:33:49.691460,668128517,v3.0/sub-13/ses-19/func/sub-13_ses-19_task-Lec1_dir-ap_bold.nii.gz,application/octet-stream,gz,NIFTI,sub-13,ses-19,bold,Lec1,637.1770067214966
4712,09fea7085dc8fd44b32f58bbf18611a9,2022-05-17T11:33:51.918330,3559,v3.0/sub-13/ses-19/func/sub-13_ses-19_task-Lec1_dir-ap_events.tsv,text/tab-separated-values,tsv,,sub-13,ses-19,events,Lec1,0.0033941268920898438
4713,2b503805fc00e0ea73613d27d54069a9,2022-05-17T11:33:52.848670,3573586,v3.0/sub-13/ses-19/func/sub-13_ses-19_task-Lec1_dir-ap_sbref.nii.gz,application/octet-stream,gz,NIFTI,sub-13,ses-19,sbref,Lec1,3.4080371856689453
4714,d72c86bb861035ed44e241c9b9bca99b,2022-05-17T11:33:55.441270,663679223,v3.0/sub-13/ses-19/func/sub-13_ses-19_task-Lec1_dir-pa_bold.nii.gz,application/octet-stream,gz,NIFTI,sub-13,ses-19,bold,Lec1,632.9338293075562
4715,b5cdb148cc69b3964cf080a128004375,2022-05-17T11:33:57.825360,3554,v3.0/sub-13/ses-19/func/sub-13_ses-19_task-Lec1_dir-pa_events.tsv,text/tab-separated-values,tsv,,sub-13,ses-19,events,Lec1,0.0033893585205078125
4716,8faab05b4481ba34f114d7f844d174f4,2022-05-17T11:33:58.686190,3549047,v3.0/sub-13/ses-19/func/sub-13_ses-19_task-Lec1_dir-pa_sbref.nii.gz,application/octet-stream,gz,NIFTI,sub-13,ses-19,sbref,Lec1,3.3846349716186523
4717,1f7568980c4a000cfeedd7e99d5b358e,2022-05-17T11:34:00.650270,481937533,v3.0/sub-13/ses-19/func/sub-13_ses-19_task-Lec2_dir-ap_bold.nii.gz,application/octet-stream,gz,NIFTI,sub-13,ses-19,bold,Lec2,459.61144733428955
4718,4f51da82ca403a0af09cb8fb739c1bb5,2022-05-17T11:34:04.781870,3944,v3.0/sub-13/ses-19/func/sub-13_ses-19_task-Lec2_dir-ap_events.tsv,text/tab-separated-values,tsv,,sub-13,ses-19,events,Lec2,0.00376129150390625
4719,5e81b3d6234fdd76187d46de525f3e04,2022-05-17T11:34:05.741790,3574017,v3.0/sub-13/ses-19/func/sub-13_ses-19_task-Lec2_dir-ap_sbref.nii.gz,application/octet-stream,gz,NIFTI,sub-13,ses-19,sbref,Lec2,3.4084482192993164
4720,8f1d5d0571b3ecd35cf7b9df9c4e7990,2022-05-17T11:34:07.667430,499512109,v3.0/sub-13/ses-19/func/sub-13_ses-19_task-Lec2_dir-pa_bold.nii.gz,application/octet-stream,gz,NIFTI,sub-13,ses-19,bold,Lec2,476.37186908721924
4721,300bdd60bf3ee82c04de0079e7ecaa4c,2022-05-17T11:34:11.959200,4063,v3.0/sub-13/ses-19/func/sub-13_ses-19_task-Lec2_dir-pa_events.tsv,text/tab-separated-values,tsv,,sub-13,ses-19,events,Lec2,0.0038747787475585938
4722,a777d73ba4779ea9261c8a5010bfb248,2022-05-17T11:34:12.850720,3548319,v3.0/sub-13/ses-19/func/sub-13_ses-19_task-Lec2_dir-pa_sbref.nii.gz,application/octet-stream,gz,NIFTI,sub-13,ses-19,sbref,Lec2,3.3839406967163086
4723,bb4d43703e87d0a507692cd3928e6bf5,2022-05-17T11:34:15.417940,608943459,v3.0/sub-13/ses-19/func/sub-13_ses-19_task-Visu_dir-ap_bold.nii.gz,application/octet-stream,gz,NIFTI,sub-13,ses-19,bold,Visu,580.7337369918823
4724,4b31dee7576dd20ec8bae18dbc0c6096,2022-05-17T11:34:17.604520,6565,v3.0/sub-13/ses-19/func/sub-13_ses-19_task-Visu_dir-ap_events.tsv,text/tab-separated-values,tsv,,sub-13,ses-19,events,Visu,0.006260871887207031
4725,7dffa8c2dbc2c661cd3950a29af6aaaa,2022-05-17T11:34:18.441790,3575533,v3.0/sub-13/ses-19/func/sub-13_ses-19_task-Visu_dir-ap_sbref.nii.gz,application/octet-stream,gz,NIFTI,sub-13,ses-19,sbref,Visu,3.4098939895629883
4726,0e9933584c507bf14bddc20ca9a843df,2022-05-17T11:34:20.645390,603735992,v3.0/sub-13/ses-19/func/sub-13_ses-19_task-Visu_dir-pa_bold.nii.gz,application/octet-stream,gz,NIFTI,sub-13,ses-19,bold,Visu,575.7675094604492
4727,6bfafad006c80f55a2b5407e18627b55,2022-05-17T11:34:25.757510,6559,v3.0/sub-13/ses-19/func/sub-13_ses-19_task-Visu_dir-pa_events.tsv,text/tab-separated-values,tsv,,sub-13,ses-19,events,Visu,0.006255149841308594
4728,230607f4559fee843b2450e419c5be24,2022-05-17T11:34:26.629180,3545747,v3.0/sub-13/ses-19/func/sub-13_ses-19_task-Visu_dir-pa_sbref.nii.gz,application/octet-stream,gz,NIFTI,sub-13,ses-19,sbref,Visu,3.3814878463745117
4729,b603a495444a67efafe12b955e313357,2022-05-17T11:34:27.444580,2141845,v3.0/sub-13/ses-21/fmap/sub-13_ses-21_dir-ap_epi.nii.gz,application/octet-stream,gz,NIFTI,sub-13,ses-21,fmap,,2.0426225662231445
4730,f9822650c855db369407d7fcec2295be,2022-05-17T11:34:28.288690,2127146,v3.0/sub-13/ses-21/fmap/sub-13_ses-21_dir-pa_epi.nii.gz,application/octet-stream,gz,NIFTI,sub-13,ses-21,fmap,,2.028604507446289
4731,83590930dd351cf9d877a03a752d04ec,2022-05-17T11:34:33.913770,853319993,v3.0/sub-13/ses-21/func/sub-13_ses-21_task-Bang_dir-pa_bold.nii.gz,application/octet-stream,gz,NIFTI,sub-13,ses-21,bold,Bang,813.789361000061
4732,6f6ab756cc72c97e16fb86e309d657fb,2022-05-17T11:34:40.551940,2973,v3.0/sub-13/ses-21/func/sub-13_ses-21_task-Bang_dir-pa_events.tsv,text/tab-separated-values,tsv,,sub-13,ses-21,events,Bang,0.0028352737426757812
4733,9e08678b63b6bb005d8f5095008ba150,2022-05-17T11:34:41.422350,3570184,v3.0/sub-13/ses-21/func/sub-13_ses-21_task-Bang_dir-pa_sbref.nii.gz,application/octet-stream,gz,NIFTI,sub-13,ses-21,sbref,Bang,3.4047927856445312
4734,07aa9b6f3ae3de5c3c42b58d63a30999,2022-05-17T11:34:48.911260,981194604,v3.0/sub-13/ses-21/func/sub-13_ses-21_task-Self_dir-ap_run-03_bold.nii.gz,application/octet-stream,gz,NIFTI,sub-13,ses-21,bold,Self,935.7400932312012
4735,21c503845d5b8b30e0fcb48ca99091c6,2022-05-17T11:34:51.814070,3671,v3.0/sub-13/ses-21/func/sub-13_ses-21_task-Self_dir-ap_run-03_events.tsv,text/tab-separated-values,tsv,,sub-13,ses-21,events,Self,0.0035009384155273438
4736,52953864b1eb80b2c54cc778b2a63332,2022-05-17T11:34:52.699490,3594715,v3.0/sub-13/ses-21/func/sub-13_ses-21_task-Self_dir-ap_run-03_sbref.nii.gz,application/octet-stream,gz,NIFTI,sub-13,ses-21,sbref,Self,3.428187370300293
4737,3936e06d2616c44ef3948727c38696a6,2022-05-17T11:35:03.217650,1312338016,v3.0/sub-13/ses-21/func/sub-13_ses-21_task-Self_dir-ap_run-04_bold.nii.gz,application/octet-stream,gz,NIFTI,sub-13,ses-21,bold,Self,1251.5430603027344
4738,9f23c3b27d529d3fa9c6648c32db49d5,2022-05-17T11:35:13.457610,4657,v3.0/sub-13/ses-21/func/sub-13_ses-21_task-Self_dir-ap_run-04_events.tsv,text/tab-separated-values,tsv,,sub-13,ses-21,events,Self,0.004441261291503906
4739,b8219ee6774f2fb292bc46d0ffcb50f6,2022-05-17T11:35:14.372440,3594399,v3.0/sub-13/ses-21/func/sub-13_ses-21_task-Self_dir-ap_run-04_sbref.nii.gz,application/octet-stream,gz,NIFTI,sub-13,ses-21,sbref,Self,3.4278860092163086
4740,43877a54fc249c7fda955bbe4ffe3f08,2022-05-17T11:35:22.386220,970511463,v3.0/sub-13/ses-21/func/sub-13_ses-21_task-Self_dir-pa_run-01_bold.nii.gz,application/octet-stream,gz,NIFTI,sub-13,ses-21,bold,Self,925.5518560409546
4741,ace22d9c029ab930dd42df8a70bb1ae7,2022-05-17T11:35:29.521770,3556,v3.0/sub-13/ses-21/func/sub-13_ses-21_task-Self_dir-pa_run-01_events.tsv,text/tab-separated-values,tsv,,sub-13,ses-21,events,Self,0.003391265869140625
4742,3ff59a4d7b49a0f28e8068e588f19a83,2022-05-17T11:35:30.489020,3565749,v3.0/sub-13/ses-21/func/sub-13_ses-21_task-Self_dir-pa_run-01_sbref.nii.gz,application/octet-stream,gz,NIFTI,sub-13,ses-21,sbref,Self,3.4005632400512695
4743,8f8753daf1ca25545600f7ea8c6b4171,2022-05-17T11:35:38.495820,970694170,v3.0/sub-13/ses-21/func/sub-13_ses-21_task-Self_dir-pa_run-02_bold.nii.gz,application/octet-stream,gz,NIFTI,sub-13,ses-21,bold,Self,925.7260990142822
4744,50853238529f07f4717a3d95a560aa48,2022-05-17T11:35:41.841370,3488,v3.0/sub-13/ses-21/func/sub-13_ses-21_task-Self_dir-pa_run-02_events.tsv,text/tab-separated-values,tsv,,sub-13,ses-21,events,Self,0.003326416015625
